id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,I,0.8125,0.625,0.1625,5.2446575,2.42388225,1.11980525,1.13398,5.0
1,M,1.175,0.925,0.2875,13.36678925,5.556502,2.8066005,4.26659975,8.0
2,I,0.85,0.65,0.25,5.3013565,2.67902775,1.190679,1.644271,6.0
3,M,1.3375,1.0875,0.4125,26.32251075,10.999606,6.56290925,7.654365,10.0
4,M,1.7,1.3,0.425,44.22522,24.67823975,9.0434905,10.5176645,9.0
5,I,1.125,0.8875,0.25,15.87572,6.73300625,3.8838815,4.9611625,10.0
6,M,1.5125,1.2,0.4125,32.78619675,15.592225,6.350288,8.50485,9.0
7,M,1.55,1.225,0.4125,32.41765325,12.20445975,6.577084,10.3475675,15.0
8,M,1.2,0.8875,0.3,13.02659525,6.6621325,3.005047,3.685435,10.0
9,F,1.5625,1.25,0.4375,38.82464025,15.592225,8.51902475,13.79203175,16.0
10,M,1.4875,1.175,0.475,31.56716825,15.989118,7.01650125,9.298636,10.0
11,I,1.0875,0.8125,0.275,10.4609655,4.649318,1.814368,2.9766975,7.0
12,M,1.2875,1.0,0.3125,15.87572,7.04485075,3.01922175,4.9611625,10.0
13,F,1.5875,1.275,0.45,35.81959325,13.70698325,8.2497045,9.63883,10.0
14,I,1.2,0.9375,0.35,14.8834875,6.73300625,3.2601925,4.3941725,7.0
15,M,1.6375,1.2625,0.4,34.529691,13.04077,7.597666,10.20582,8.0
16,F,1.225,0.975,0.3,17.463292,7.24329725,4.025629,4.6776675,8.0
17,M,1.5625,1.2,0.3875,31.2694985,16.159215,7.75358825,8.50485,12.0
18,F,1.325,1.05,0.375,20.638436,8.60407325,4.309124,6.3786375,8.0
19,F,1.65,1.1875,0.5,40.44056175,17.08057375,8.2497045,9.07184,10.0
20,M,1.2375,0.9625,0.3375,14.61416725,5.6982495,2.9199985,4.3941725,11.0
21,I,1.175,0.925,0.2875,13.45183775,5.91087075,2.494756,3.4869885,7.0
22,I,1.1625,0.8875,0.35,14.2030995,6.90310325,2.87747425,4.252425,8.0
23,I,1.2125,0.9125,0.3125,16.7120303,7.654365,3.572037,4.6776675,8.0
24,I,1.0375,0.8125,0.2875,8.17883075,3.55786225,2.14038725,3.35941575,7.0
25,M,1.6875,1.35,0.55,46.6916265,20.48251375,9.015141,11.3398,9.0
26,I,1.025,0.7625,0.25,8.51902475,3.55786225,1.48834875,2.6932025,8.0
27,I,1.2625,0.9875,0.2625,15.195332,6.8322295,2.87747425,4.3941725,8.0
28,M,1.525,1.2125,0.35,27.499015,11.9351395,6.293589,8.50485,14.0
29,I,0.525,0.4,0.125,1.20485375,0.5386405,0.340194,0.38271825,7.0
30,M,1.475,1.175,0.3125,25.41532675,12.82814875,6.78970525,5.57067675,11.0
31,F,1.4375,1.1625,0.3875,27.555714,11.0,6.56290925,7.61184075,9.0
32,F,1.525,1.2375,0.375,40.78075575,18.5689225,9.56795625,10.9145575,9.0
33,I,1.1,0.9125,0.25,9.96484925,4.2240755,1.51669825,3.118445,7.0
34,F,1.325,1.0625,0.4125,24.38057,11.35397475,4.86193925,7.37087,17.0
35,F,1.5125,1.2,0.4,31.808139,11.60912025,6.33611325,8.6465975,13.0
36,I,1.225,0.95,0.2875,17.236496,8.68912175,3.75630875,3.9972795,8.0
37,F,1.4375,1.15,0.4125,28.0943545,10.77281,5.17378375,9.922325,17.0
38,I,1.2,0.9375,0.35,14.3731965,6.8322295,3.04757125,4.3941725,9.0
39,F,1.7125,1.425,0.4875,49.34230475,23.40251225,10.6310625,11.509897,10.0
40,M,1.5875,1.2125,0.4375,46.6916265,19.74542675,9.96484925,11.1980525,13.0
41,M,1.25,0.95,0.3,15.66309875,7.9662095,2.93417325,4.9611625,9.0
42,I,1.4125,1.125,0.375,22.5945515,9.298636,4.77689075,6.520385,11.0
43,F,1.45,1.15,0.375,28.2644515,14.004653,5.85417175,7.7961125,8.0
44,M,1.275,1.0,0.3,17.70426275,6.19436575,3.8838815,4.3941725,8.0
45,I,0.8875,0.7125,0.2375,6.8322295,2.82077525,1.23320325,2.31048425,6.0
46,F,1.1625,0.925,0.35,28.462898,12.3320325,6.22271525,7.654365,10.0
47,I,1.1125,0.8875,0.325,12.984071,5.8683465,2.721552,3.7137845,6.0
48,I,1.15,0.8625,0.275,12.28950825,5.00368675,2.42388225,4.3941725,8.0
49,F,1.25,0.95,0.3625,18.71067,8.561549,4.66349275,5.2446575,8.0
50,F,1.4375,1.125,0.375,28.8314415,13.62193475,5.386405,6.520385,9.0
51,F,1.55,1.2375,0.45,37.3518265,16.79707875,7.824462,11.056305,13.0
52,M,1.4375,1.0875,0.375,27.68328675,13.42348825,4.989512,7.0023265,12.0
53,M,1.5375,1.125,0.375,26.2799865,7.4559185,5.273007,7.29999625,11.0
54,M,1.5625,1.1375,0.425,30.63163475,14.64251675,7.07320025,9.22776225,12.0
55,F,1.2625,1.0,0.325,20.25571775,8.66077225,4.72019175,5.2446575,9.0
56,I,1.3875,1.1125,0.4375,24.16794875,8.23552975,5.17378375,9.4970825,13.0
57,F,0.8625,0.675,0.25,6.0384435,2.11203775,1.70097,2.1829115,6.0
58,F,1.35,1.1125,0.4,29.44095575,9.525432,6.2085405,9.07184,13.0
59,F,1.475,1.15,0.375,32.4601775,17.61921425,6.25106475,7.93786,12.0
60,I,0.825,0.5625,0.0,4.2240755,1.68679525,0.80796075,1.5592225,5.0
61,F,1.3875,1.0875,0.4,24.90503575,8.29222875,5.839997,8.9867915,13.0
62,I,1.3625,1.0625,0.35,24.53649225,11.41067375,4.9044635,6.87475375,8.0
63,M,1.55,1.225,0.3875,32.8415355,13.097469,6.76135575,9.4970825,14.0
64,F,1.5625,1.225,0.3875,29.44095575,12.643877,6.56290925,8.448151,9.0
65,M,1.4125,1.125,0.3375,25.41532675,10.04989775,5.556502,7.2291225,12.0
66,M,1.5625,1.2,0.4125,33.26813825,16.2442635,5.3013565,8.83086925,11.0
67,F,1.6,1.2875,0.475,33.5941575,14.78426425,7.52679225,10.3475675,10.0
68,I,1.4,1.1,0.375,23.700182,10.4042665,5.783298,7.087375,10.0
69,F,1.625,1.25,0.4375,46.42230625,23.09066775,8.63242275,10.035723,9.0
70,I,1.25,1.0,0.3625,16.82542825,6.7755305,3.33106625,5.2446575,10.0
71,M,1.45,1.075,0.375,20.87940675,7.5693165,4.60679375,6.0951425,11.0
72,I,1.0125,0.75,0.225,8.618248,4.0539785,1.8427175,2.948348,7.0
73,F,1.3125,1.0,0.35,20.6667855,11.58077075,4.706017,5.386405,9.0
74,F,1.625,1.3,0.4125,38.385223,13.79203175,9.9506745,11.3398,13.0
75,I,1.175,0.875,0.3,12.9557215,5.14543425,2.551455,4.1106775,7.0
76,M,1.225,0.975,0.4,21.9708625,6.64795775,4.57844425,5.2446575,20.0
77,M,1.4875,1.1375,0.4625,35.6920205,15.06775925,8.40562675,11.623295,18.0
78,F,1.3125,1.1125,0.3375,23.94115275,10.8011595,4.63514325,8.051258,11.0
79,I,0.7125,0.525,0.1875,4.12485225,1.587572,0.86465975,1.2757275,5.0
80,M,0.925,0.6625,0.25,7.994559,3.55786225,1.6159215,2.48058125,6.0
81,F,1.375,1.0625,0.3625,22.66542525,7.6827145,4.63514325,7.2291225,13.0
82,I,1.2375,0.9375,0.3125,15.43630275,7.47009325,3.6003865,3.98310475,8.0
83,F,1.25,0.95,0.3375,15.06775925,6.2652395,3.07592075,4.7343665,12.0
84,I,1.125,0.925,0.275,10.716111,5.10291,2.42388225,2.83495,8.0
85,I,1.4375,1.125,0.3875,23.28911425,11.86426575,6.350288,6.23689,9.0
86,F,1.7625,1.4125,0.45,50.7739545,27.82503425,12.076887,12.927372,10.0
87,F,1.475,1.3125,0.4125,32.44600275,10.546014,6.917278,10.0640725,20.0
88,M,1.5,1.15,0.45,34.699788,11.509897,8.85921875,9.2135875,12.0
89,I,1.0,0.775,0.2875,8.901743,3.345241,1.85689225,2.664853,7.0
90,I,1.225,0.95,0.3375,19.80212575,11.679994,3.47281375,5.62737575,8.0
91,M,0.8375,0.65,0.2125,5.25883225,2.22543575,1.06310625,1.70097,15.0
92,I,0.9875,0.775,0.2375,7.72523875,3.2601925,1.77184375,2.4664065,9.0
93,F,1.4875,1.15,0.375,31.014353,14.04717725,6.67630725,7.7961125,11.0
94,M,1.675,1.2875,0.475,46.444455,23.926978,10.999606,10.3475675,11.0
95,F,1.5375,1.2375,0.4125,33.35318675,13.56523575,6.917278,11.7650425,20.0
96,F,1.2625,0.9625,0.3375,19.29183475,9.00096625,4.60679375,4.9611625,13.0
97,M,1.3625,1.125,0.375,32.16250775,13.31009025,7.15824875,9.8939755,12.0
98,M,1.4375,1.125,0.4125,26.26581175,9.31281075,5.896696,8.221355,13.0
99,I,1.5625,1.25,0.4125,30.71668325,12.0485375,6.6621325,10.20582,14.0
100,F,1.425,1.1,0.425,26.32251075,10.70193625,6.123492,7.83863675,9.0
101,I,0.475,0.325,0.1,0.66621325,0.35436875,0.15592225,0.2551455,4.0
102,I,1.225,0.925,0.3625,15.1669825,6.860579,3.89805625,5.10291,11.0
103,F,1.45,1.175,0.375,27.328918,10.24834425,4.6209685,7.5126175,10.0
104,M,1.45,1.15,0.4125,29.95124675,13.13999325,5.443104,7.654365,11.0
105,M,1.4375,1.0625,0.3625,22.92057075,9.7805775,5.8683465,5.6699,10.0
106,M,1.05,0.8625,0.275,11.509897,4.74854125,2.2963095,3.5436875,8.0
107,M,1.3125,1.1125,0.35,26.2232875,10.75863525,5.17378375,8.3631025,17.0
108,F,1.45,1.125,0.4875,35.3518265,11.793392,5.839997,11.7650425,21.0
109,F,1.7,1.375,0.5125,49.5265765,21.33299875,6.64795775,18.8524175,20.0
110,F,1.5,1.2375,0.425,36.3724085,16.03164225,9.07184,9.4970825,10.0
111,M,1.25,1.0125,0.4625,22.15513425,7.92368525,4.46504625,7.2291225,12.0
112,F,1.0375,0.7875,0.25,10.5176645,4.01145425,2.48058125,2.83495,7.0
113,M,1.6875,1.35,0.4875,44.9906565,19.94387325,9.525432,12.757275,10.0
114,F,1.3375,1.0875,0.425,22.66542525,6.76135575,5.40057975,8.3631025,13.0
115,I,0.8125,0.5625,0.225,4.3941725,2.1829115,1.00640725,1.417475,5.0
116,I,1.1125,0.825,0.2875,11.41067375,5.45727875,2.45223175,3.5436875,8.0
117,I,1.0625,0.75,0.25,8.06543275,3.55786225,1.8994165,2.2963095,7.0
118,F,1.5875,1.2875,0.475,39.7743485,15.35125425,8.164656,11.1980525,19.0
119,M,1.3,1.0125,0.3125,18.824068,7.3425205,4.9044635,5.953395,8.0
120,I,1.1375,0.9375,0.3125,14.81261375,8.20718025,2.6932025,4.2807745,7.0
121,M,1.5625,1.2375,0.5125,35.62114675,14.4865945,5.57067675,11.056305,13.0
122,F,1.5875,1.25,0.4125,37.32211675,15.8473705,9.525432,9.7805775,10.0
123,F,1.4625,1.1875,0.45,26.09571475,11.453198,6.3219385,8.6465975,13.0
124,I,0.3875,0.0,0.025,0.41106775,0.1417475,0.0750485,0.18427175,4.0
125,M,1.4375,1.1875,0.3875,27.91008275,12.587178,5.8683465,7.654365,10.0
126,F,1.5,1.125,0.3875,34.5580405,15.705623,6.860579,9.02931575,9.0
127,I,1.45,1.0875,0.4125,25.41532675,10.95708175,5.556502,7.087375,9.0
128,M,0.95,0.7,0.25,7.55514175,3.13261975,1.68679525,2.4097075,10.0
129,M,1.5625,1.325,0.4375,37.74735925,15.71979775,6.36446275,13.891255,12.0
130,M,1.3375,1.0625,0.325,21.1203775,9.87980075,3.96893,6.80388,9.0
131,M,1.5625,1.2375,0.4375,31.127751,13.93377925,7.47009325,9.8939755,12.0
132,F,1.7125,1.25,0.4,36.85435,14.7133905,8.34892775,9.4970825,12.0
133,F,1.8125,1.3875,0.45,45.7277435,20.751834,9.8372765,13.1825175,11.0
134,M,1.625,1.3625,0.4625,49.32813,22.69377475,10.19164525,11.3398,10.0
135,F,1.625,1.3125,0.375,36.967748,17.44911725,7.087375,8.1930055,10.0
136,I,1.1875,0.9375,0.3,16.9813505,8.03708325,2.9199985,3.8271825,7.0
137,I,1.1375,0.875,0.325,14.04717725,6.67630725,3.6003865,3.61456125,8.0
138,M,1.4875,1.1875,0.425,29.27085875,12.927372,6.36446275,8.9300925,12.0
139,I,0.875,0.6625,0.225,6.08096775,2.721552,1.31825175,2.26796,7.0
140,M,1.6875,1.275,0.4375,44.4803655,19.66037825,9.53960675,11.1980525,10.0
141,I,1.375,1.0875,0.3125,22.66542525,9.525432,4.97533725,6.80388,10.0
142,F,1.5125,1.1875,0.525,32.13415825,12.57300325,6.463686,10.77281,16.0
143,I,1.5625,1.225,0.3875,29.29920825,13.1825175,6.30776375,7.8528115,11.0
144,I,1.125,0.85,0.3125,13.39513875,5.65572525,2.551455,3.5436875,9.0
145,M,1.4,1.0625,0.3875,27.5273645,10.5176645,5.6982495,8.788345,12.0
146,I,1.0875,0.8125,0.2875,11.09882925,5.28718175,2.87747425,3.40194,6.0
147,I,1.075,0.8625,0.225,10.53183925,4.6776675,2.097863,3.5436875,7.0
148,I,1.0375,0.8125,0.2625,11.1413535,4.43669675,1.8427175,2.6932025,7.0
149,I,0.9125,0.675,0.225,6.7188315,3.2034935,1.14815475,1.8427175,6.0
150,F,1.45,1.125,0.4,27.839209,9.90815025,5.14543425,8.221355,11.0
151,M,1.625,1.25,0.425,44.55123925,18.75319425,9.185238,10.0640725,7.0
152,M,1.575,1.275,0.3875,37.40716525,17.70426275,9.8372765,8.788345,11.0
153,F,1.675,1.3125,0.475,42.48172575,16.40018575,8.5898985,12.0485375,11.0
154,F,1.475,1.125,0.375,26.1665885,11.01378075,5.5848515,7.767763,9.0
155,M,1.4,1.1125,0.325,23.79940525,11.396499,5.0745605,6.860579,9.0
156,I,0.975,0.725,0.275,7.95203475,3.18931875,1.48834875,2.4097075,6.0
157,M,1.4,1.1,0.3625,26.138239,12.246984,5.1312595,7.37087,10.0
158,F,1.1625,0.8875,0.2625,12.0485375,4.29494925,3.0333965,4.1106775,9.0
159,M,0.9625,0.725,0.225,7.1157245,2.721552,1.0489315,2.1262125,9.0
160,F,1.45,1.1875,0.3625,27.22969475,11.453198,5.5281525,7.654365,13.0
161,I,1.3125,1.0125,0.3125,17.4916415,7.9095105,3.58621175,5.57067675,10.0
162,F,1.55,1.25,0.4375,42.2691045,16.8112535,9.695529,11.1980525,11.0
163,M,1.675,1.2625,0.4625,38.6403685,17.3215445,8.60407325,9.525432,9.0
164,I,1.0125,0.8125,0.25,10.0640725,4.09650275,1.8427175,2.9199985,7.0
165,I,0.5875,0.4375,0.1125,1.190679,0.5386405,0.29766975,0.510291,5.0
166,I,0.4125,0.2875,0.0125,0.5953395,0.21262125,0.1417475,0.1417475,4.0
167,M,1.625,1.2375,0.425,38.96638775,16.48523425,8.731646,11.7650425,13.0
168,F,1.6,1.275,0.375,33.12639075,13.13999325,6.53455975,15.5071765,16.0
169,M,1.5625,1.2,0.3875,32.87124525,16.42853525,8.57572375,8.6465975,10.0
170,M,1.2375,1.05,0.35,19.17843675,8.845044,3.175144,5.10291,12.0
171,F,1.575,1.225,0.425,34.45881725,14.50076925,7.24329725,8.3631025,8.0
172,M,1.4375,1.125,0.375,26.365035,11.566596,6.16601625,7.5126175,10.0
173,M,1.725,1.35,0.4875,45.68521925,17.4916415,8.49067525,13.60776,11.0
174,F,1.25,0.875,0.3125,13.8062065,5.1312595,3.5436875,4.3941725,9.0
175,I,1.025,0.75,0.25,8.09378225,3.69960975,1.587572,2.4664065,7.0
176,M,1.5375,1.1375,0.4,28.292801,12.133586,5.6699,8.50485,9.0
177,I,1.35,1.05,0.35,20.34076625,9.355335,4.8477645,5.8116475,10.0
178,I,0.6875,0.4875,0.1625,2.83495,1.077281,0.83631025,0.9922325,6.0
179,M,1.35,1.0125,0.3625,21.70154225,9.015141,4.082328,6.80388,10.0
180,F,1.6125,1.2,0.4125,37.74735925,19.5895045,6.98815175,9.2135875,10.0
181,F,1.175,0.875,0.2875,13.39513875,5.613201,2.891649,3.75630875,7.0
182,F,1.5,1.2375,0.4125,34.302895,13.947954,7.52679225,9.4970825,15.0
183,M,1.625,1.3125,0.4125,27.68328675,10.8578585,5.783298,10.489315,14.0
184,M,1.1875,0.9,0.3125,16.9246515,6.76135575,3.50116325,5.2446575,9.0
185,M,1.4,1.05,0.375,23.71435675,10.33339275,4.4508715,7.087375,10.0
186,M,1.3,1.025,0.375,20.36911575,8.3064035,4.01145425,5.2446575,10.0
187,I,1.3125,1.025,0.3625,18.75319425,7.9095105,4.60679375,5.8116475,8.0
188,M,1.6,1.225,0.425,37.03862175,12.34620725,9.015141,13.60776,13.0
189,I,0.5625,0.425,0.1,1.54504775,0.75126175,0.26932025,0.4252425,4.0
190,F,1.3,0.9875,0.3,18.71067,7.52679225,4.40834725,4.8477645,12.0
191,F,1.3,1.0375,0.325,22.792998,7.824462,3.98310475,7.087375,18.0
